Year of Survey [Core],Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status,
2010,45.0,0,5,6,19.0,7,
2010,33.0,1,5,6,16.0,7,
2010,44.0,1,5,6,14.0,7,
2010,61.0,1,5,6,18.0,6,
2010,48.0,0,5,6,19.0,7,
2010,50.0,1,5,6,14.0,6,
2010,58.0,1,5,6,18.0,6,
2010,43.0,1,5,6,12.0,3,
2010,30.0,1,5,6,14.0,1,
2010,47.0,1,5,6,10.0,6,
2010,60.0,1,2,6,9.0,1,
2010,56.0,1,2,6,20.0,3,
2010,50.0,1,1,6,19.0,8,
2010,83.0,1,5,6,16.0,3,
2010,50.0,1,5,6,20.0,7,
2010,43.0,1,5,6,20.0,7,
2010,31.0,1,3,6,13.0,7,
2010,77.0,0,5,6,16.0,5,
2010,32.0,1,5,6,10.0,7,
2010,21.0,1,5,6,11.0,7,
2010,37.0,0,5,6,17.0,7,
2010,52.0,1,3,6,15.0,1,
2010,54.0,1,5,6,20.0,7,
2010,25.0,0,5,6,16.0,7,
2010,28.0,0,5,6,14.0,7,
2010,65.0,1,5,6,3.0,3,
2010,52.0,0,5,3,12.0,1,
2010,60.0,0,5,3,18.0,7,
2010,83.0,1,5,3,9.0,3,
2010,36.0,1,1,3,16.0,7,
2010,56.0,0,5,3,11.0,1,
2010,45.0,1,5,3,12.0,1,
2010,35.0,1,5,3,15.0,7,
2010,49.0,1,5,3,12.0,7,
2010,23.0,0,5,3,13.0,8,
2010,74.0,0,5,3,12.0,8,
2010,35.0,1,5,3,12.0,6,
2010,42.0,0,5,3,12.0,7,
2010,45.0,1,5,3,16.0,7,
2010,38.0,1,3,4,16.0,7,
2010,54.0,1,4,4,12.0,7,
2010,27.0,1,5,4,16.0,7,
2010,28.0,1,5,4,16.0,7,
2010,63.0,1,5,4,14.0,7,
2010,27.0,1,5,4,14.0,7,
2010,70.0,0,5,4,17.0,1,
2010,24.0,0,4,4,13.0,4,
2010,74.0,0,5,4,16.0,3,
2010,55.0,0,5,4,16.0,7,
2010,20.0,0,3,4,13.0,7,
2010,27.0,1,4,4,12.0,7,
2010,36.0,1,5,4,14.0,7,
2010,49.0,0,2,4,16.0,6,
