,age,sex,race,region,highest_grade,employment_status,marital_status,religious,spiritual,party,lib_cons,death_penalty,court_harsh,income,sex_partners,sex_freq,bar,tv,relatives,spanking,income_distribution,standard_living,birth_control,immigration,govt_help_poor,govt_help_sick,govt_more_less,govt_help_blacks,affirmative_action,gun,tax_approp,divorce_ease,numb_children,income_bucket
3312,41.0,1.0,15.0,0.0,12.0,6.0,1.0,1.0,3.0,6.0,3.0,0.0,0.0,25803.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,2
3313,57.0,0.0,15.0,0.0,12.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,59755.0,1.0,2.0,0.0,7.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,5
3314,60.0,1.0,15.0,0.0,12.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,103640.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,7
3315,39.0,1.0,15.0,0.0,12.0,6.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,40743.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,4
3316,82.0,0.0,15.0,0.0,9.0,2.0,4.0,2.0,3.0,6.0,2.0,1.0,0.0,17655.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1
3317,43.0,1.0,2.0,0.0,12.0,6.0,1.0,3.0,3.0,6.0,4.0,1.0,0.0,40743.0,1.0,2.0,0.0,0.0,5.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,4
3318,82.0,1.0,15.0,0.0,16.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,152104.0,0.0,0.0,0.0,3.0,5.0,1.0,7.0,4.0,1.0,0.0,4.0,4.0,5.0,2.0,0.0,1.0,1.0,2.0,3.0,7
3319,70.0,0.0,15.0,0.0,16.0,6.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,48891.0,1.0,2.0,0.0,2.0,5.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,4
3320,46.0,1.0,15.0,0.0,20.0,6.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,89634.0,1.0,1.0,3.0,1.0,5.0,3.0,5.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,0.0,1.0,2.0,2.0,3.0,6
3321,89.0,1.0,15.0,0.0,9.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,29878.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,3.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,2
